,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
639,Which of the following NAS signalling messages are accepted by the UE without integrity protection?,Only IDENTITY REQUEST and AUTHENTICATION REQUEST,Only REGISTRATION REJECT and DEREGISTRATION ACCEPT,Only SERVICE REJECT and AUTHENTICATION RESULT,"All of the following: IDENTITY REQUEST, AUTHENTICATION REQUEST, AUTHENTICATION RESULT, AUTHENTICATION REJECT, REGISTRATION REJECT (if the 5GMM cause is not #76, #78, #81 or #82), DEREGISTRATION ACCEPT (for non switch off), and SERVICE REJECT (if the 5GMM cause is not #76 or #78)",Option 4,"According to the 3GPP specification, these messages are accepted by the UE without integrity protection as they may be sent by the network before security can be activated.",3GPP TS 24.501,4.4.4.2 Integrity checking of NAS signalling messages in the UE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
640,How does an MME differentiate between a GUMMEI mapped from P-TMSI/RAI and a native GUMMEI in PLMNs deployed with the mechanism described?,Based on the value of the least significant bit of the MME Group ID.,Based on the value of the most significant bit of the LAC.,Based on the presence or absence of a specific flag in the GUTI.,"Based on the value of the most significant bit of the MME Group ID, where ""0"" indicates a mapped GUMMEI and ""1"" indicates a native GUMMEI.",Option 4,"According to the specification, an MME differentiates between a GUMMEI mapped from P-TMSI/RAI and a native GUMMEI based on the value of the most significant bit (MSB) of the MME Group ID. If the MSB is set to ""0"", the GUMMEI is mapped from P-TMSI/RAI, and if the MSB is set to ""1"", the GUMMEI is a native one. This allows the MME to correctly identify the type of GUMMEI being used in the network.",3GPP TS 23.401,4.3.19.2 MSB in LAC and MME Group ID,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
641,What is a prerequisite for a User Equipment (UE) to access Evolved Packet System (EPS) for Uncrewed Aerial Vehicle (UAV) services?,The UE must be registered with the UAV manufacturer.,The UE must have an assigned CAA-level UAV ID.,The UE must support a specific frequency band.,The UE must have a valid International Mobile Subscriber Identity (IMSI).,Option 2,"According to the EPS specifications, before accessing EPS for UAS services, the UE supporting UAS services must have an assigned CAA-level UAV ID. This ensures that the UAV can be properly identified and authenticated within the network.",3GPP TS 24.301,"6.3.13 Handling of Uncrewed aerial vehicle identification, authentication, and authorization 6.3.13.1 General",CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
642,Where does the de-concealment of SUPI from SUCI take place?,At the UE,At the UDM,At the gNB,At the AMF,Option 2,"The de-concealment of SUPI from SUCI takes place at the Unified Data Management (UDM) function, which is responsible for storing and managing subscriber data. This is because the UDM has access to the Home Network Private Key that is securely stored in the home operator's network, allowing it to decrypt the SUCI and retrieve the SUPI.",3GPP TS 33.501,6.12.5 Subscription identifier de-concealing function (SIDF),SA WG3,"3GPP Series : 33 , Security aspects"
643,What is the primary benefit of Vehicles Platooning in enhanced V2X scenarios?,Improved traffic efficiency and collision avoidance,Increased vehicle speed and reduced fuel consumption,Enhanced passenger comfort and entertainment,Advanced navigation and route planning,Option 1,"Vehicles Platooning enables vehicles to dynamically form a group traveling together, allowing for safer traveling, collision avoidance, and improved traffic efficiency. This is achieved through the exchange of periodic data between vehicles, enabling them to coordinate their movements and maintain extremely small distances.",3GPP TS 22.261,6.20.1 Description,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
644,What determines the destination NF type to be notified in the Namf_Communication_N1MessageNotify service operation?,"The N1 message type is always known to be consumed by one particular NF type, or an NF had explicitly subscribed for the particular N1 message type.",The AMF ID (GUAMI) and local time zone of the UE.,"The AN access information (e.g. AN type, AN N2 terminating point, CAG Identifier(s) of the CAG cell).","The SUPI, MM Context, and Allowed NSSAI parameters.",Option 1,"According to the Namf_Communication_N1MessageNotify service operation description, the destination NF type to be notified is determined based on either the N1 message type being always known to be consumed by one particular NF type or an NF having explicitly subscribed for the particular N1 message type. This ensures that the notification is sent to the correct NF instance that can process the received N1 message from the UE.",3GPP TS 23.502,5.2.2.2.4 Namf_Communication_N1MessageNotify service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
645,What is facilitated by the introduction of specific mechanisms in the 3GPP NR and NG-RAN Overall description?,Ultra-Reliable and Low Latency Communications (URLLC) services,High-Speed Data Transfer services,Enhanced Mobile Broadband (eMBB) services,Machine-Type Communications (MTC) services,Option 1,"The introduction of specific mechanisms in the 3GPP NR and NG-RAN Overall description facilitates the support of Ultra-Reliable and Low Latency Communications (URLLC) services. This is because these mechanisms enable features such as more frequent Scheduling Request (SR) opportunities, which are essential for URLLC services that require low latency and high reliability.",3GPP TS 38.300,16.1.1 Overview,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
646,What is the purpose of the NEF sending an Nsmf_EventExposure_Subscribe request to the SMF in step 4 of the Member UE Selection Assistance procedure?,To request QoS monitoring for certain flows.,To retrieve the list of target UEs that fulfill the QoS filtering criteria.,To verify the authorization of the AF request.,To discover the SMFs deployed in the Area of Interest.,Option 1,"The NEF sends an Nsmf_EventExposure_Subscribe request to the SMF to request QoS monitoring for certain flows, which is necessary to detect the list of UEs that fulfill the QoS filtering criteria in real-time. This step allows the SMF to send an N4 Session Modification request to UPF for requesting QoS monitoring, enabling the NEF to receive Event Exposure notifications from the UPFs and derive the list of candidate UEs that fulfill the QoS filtering criteria.",3GPP TS 23.502,4.15.13.3.3 Member UE Selection Assistance with QoS filtering criteria for real-time QoS Monitoring,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
647,When can the Information Element (IE) for uplink data status be included by the Mobile Station (MS)?,"When the Service Type is set to ""voice"".","When the Service Type is set to ""data"".",When the MS is in idle mode.,When the MS is in a handover procedure.,Option 2,"The IE for uplink data status can be included by the MS when the Service Type is set to ""data"", as specified in the Mobile radio interface Layer 3 specification. This indicates that the MS has data to send and is requesting resources from the network.",3GPP TS 24.008,9.4.20.3 Uplink data status,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
648,What is the primary purpose of including the direction identifier (DIRECTION) in the computation of message authentication codes?,To indicate the type of message being sent,To ensure that different input parameter values are used for up-link and down-link messages,To specify the encryption algorithm to be used,To authenticate the sender's identity,Option 2,"The direction identifier (DIRECTION) is included in the computation of message authentication codes to prevent the integrity algorithm from using identical input parameter values for up-link and down-link messages, which could compromise security.",3GPP TS 33.102,6.5.4.4 DIRECTION,SA WG3,"3GPP Series : 33 , Security aspects"
